|FPP|Entry
17184|detonso|detonso, detonsare, detonsavi, detonsatus v
17185|detorno|detorno, detornare, detornavi, detornatus v
17186|detorqueo|detorqueo, detorquere, detorsi, detortus v
17187|detorqueo|detorqueo, detorquere, detorsi, detortus v
17188|detorreo|detorreo, detorrere, detorrui, detostus v
17189|detorso|detorso, detorsare, detorsavi, detorsatus v
17190|detractatio|detractatio, detractationis n
17191|detractator|detractator, detractatoris n
17192|detractatus|detractatus, detractatus n
17193|detractio|detractio, detractionis n
17194|detracto|detracto, detractare, detractavi, detractatus v
17195|detracto|detracto, detractare, detractavi, detractatus v
17196|detractor|detractor, detractoris n
17197|detractorium|detractorium, detractorii n
17198|detractorius|detractorius, detractoria, detractorium adj
17199|detractus|detractus, detractus n
17200|detraho|detraho, detrahere, detraxi, detractus v
17201|detraho|detraho, detrahere, detraxi, detractus v
17202|detraho|detraho, detrahere, detraxi, detractus v
17203|detraho|detraho, detrahere, detraxi, detractus v
17204|detrectatio|detrectatio, detrectationis n
17205|detrectator|detrectator, detrectatoris n
17206|detrectio|detrectio, detrectionis n
17207|detrecto|detrecto, detrectare, detrectavi, detrectatus v
17208|detrecto|detrecto, detrectare, detrectavi, detrectatus v
17209|detrector|detrector, detrectoris n
17210|detrimentosus|detrimentosus, detrimentosa, detrimentosum adj
17211|detrimentum|detrimentum, detrimenti n
17212|detrimentum|detrimentum, detrimenti n
17213|detritus|detritus, detrita, detritum adj
17214|detritus|detritus, detritus n
17215|detriumpho|detriumpho, detriumphare, detriumphavi, detriumphatus v
17216|detrudo|detrudo, detrudere, detrusi, detrusus v
17217|detruncatio|detruncatio, detruncationis n
17218|detrunco|detrunco, detruncare, detruncavi, detruncatus v
17219|detrusio|detrusio, detrusionis n
17220|detumesco|detumesco, detumescere, detumui, - v
17221|detundo|detundo, detundere, detundi, detunsus v
17222|deturbator|deturbator, deturbatoris n
17223|deturbo|deturbo, deturbare, deturbavi, deturbatus v
17224|deturbo|deturbo, deturbare, deturbavi, deturbatus v
17225|deturpo|deturpo, deturpare, deturpavi, deturpatus v
17226|deunx|deunx, deuncis n
17227|deuro|deuro, deurere, deussi, deustus v
17228|deurode|deurode interj
17229|deus|deus interj
17230|Deus|Deus, Dei n
17231|deuterius|deuterius, deuteria, deuterium adj
17232|Deuteronomium|Deuteronomium, Deuteronomii n
17233|deuteros|deuteros, deuteri n
17234|deuterus|deuterus, deuteri n
17235|deutor|deutor, deuti, deusus v
17236|devagor|devagor, devagari, devagatus v
17237|devastatio|devastatio, devastationis n
17238|devastator|devastator, devastatoris n
17239|devasto|devasto, devastare, devastavi, devastatus v
17240|devecto|devecto, devectare, devectavi, devectatus v
17241|deveho|deveho, devehere, devexi, devectus v
17242|deveho|deveho, devehere, devexi, devectus v
17243|devello|devello, devellere, develli, devolsus v
17244|develo|develo, develare, develavi, develatus v
17245|deveneror|deveneror, devenerari, deveneratus v
17246|devenio|devenio, devenire, deveni, deventus v
17247|devenusto|devenusto, devenustare, devenustavi, devenustatus v
17248|deverbero|deverbero, deverberare, deverberavi, deverberatus v
17249|deverbium|deverbium, deverbii n
17250|devergo|devergo, devergere, -, - v
17251|deverro|deverro, deverrere, deverri, deversus v
17252|deversito|deversito, deversitare, deversitavi, deversitatus v
17253|deversitor|deversitor, deversitoris n
17254|deversor|deversor, deversari, deversatus v
17255|deversor|deversor, deversoris n
17256|deversoriolum|deversoriolum, deversorioli n
17257|deversorium|deversorium, deversori(i) n
17258|deversorium|deversorium, deversorii n
17259|deversorius|deversorius, deversoria, deversorium adj
17260|deversus|deversus adv
17261|deverticulum|deverticulum, deverticuli n
17262|deverticulum|deverticulum, deverticuli n
17263|deverto|deverto, devertere, deverti, deversus v
17264|devescor|devescor, devesci, - v
17265|devestio|devestio, devestire, devestivi, devestitus v
17266|devestivus|devestivus, devestiva, devestivum adj
17267|devexitas|devexitas, devexitatis n
17268|devexo|devexo, devexare, devexavi, devexatus v
17269|devexo|devexo, devexare, devexavi, devexatus v
17270|devexum|devexum, devexi n
17271|devexus|devexus, devexa, devexum adj
17272|deviatio|deviatio, deviationis n
17273|deviator|deviator, deviatoris n
17274|devictio|devictio, devictionis n
17275|devigeo|devigeo, devigere, -, - v
17276|devigesco|devigesco, devigescere, -, - v
17277|devincio|devincio, devincire, devinxi, devinctus v
17278|devinco|devinco, devincere, devici, devictus v
17279|devinctio|devinctio, devinctionis n
17280|devinctus|devinctus, devincta adj
17281|devio|devio, deviare, deviavi, deviatus v
17282|devirginatio|devirginatio, devirginationis n
17283|devirginator|devirginator, devirginatoris n
17284|devirgino|devirgino, devirginare, devirginavi, devirginatus v
17285|devito|devito, devitare, devitavi, devitatus v
