|FPP|Entry
0|a|a interj
1|a|a prep
2|a|a prep
3|A.|A., abb. n
4|a.|a., abb. n
5|ab|ab prep
6|abactius|abactius, abactia, abactium adj
7|abactor|abactor, abactoris n
8|abactus|abactus, abacta, abactum adj
9|abactus|abactus, abactus n
10|abaculus|abaculus, abaculi n
11|abacus|abacus, abaci n
12|abacus|abacus, abaci n
13|abaestuo|abaestuo, abaestuare, abaestuavi, abaestuatus v
14|abagmentum|abagmentum, abagmenti n
15|abalienatio|abalienatio, abalienationis n
16|abalienatus|abalienatus, abalienata, abalienatum adj
17|abalieno|abalieno, abalienare, abalienavi, abalienatus v
18|abalieno|abalieno, abalienare, abalienavi, abalienatus v
19|abambulo|abambulo, abambulare, abambulavi, abambulatus v
20|abamita|abamita, abamitae n
21|abante|abante adv
22|abante|abante prep
23|abarceo|abarceo, abarcere, -, - v
24|abascantus|abascantus, abascanta, abascantum adj
25|abavia|abavia, abaviae n
26|abavunculus|abavunculus, abavunculi n
27|abavus|abavus, abavi n
28|abax|abax, abacis n
29|Abba|Abba, undeclined n
30|abbas|abbas, abbatis n
31|abbatia|abbatia, abbatiae n
32|abbatialis|abbatialis, abbatialis, abbatiale adj
33|abbatissa|abbatissa, abbatissae n
34|abbatizo|abbatizo, abbatizare, -, - v
35|abbibo|abbibo, abbibere, abbibi, - v
36|abbito|abbito, abbitere, -, - v
37|abbreviatio|abbreviatio, abbreviationis n
38|abbreviator|abbreviator, abbreviatoris n
39|abbreviatus|abbreviatus, abbreviata, abbreviatum adj
40|abbrevio|abbrevio, abbreviare, abbreviavi, abbreviatus v
41|abbrocamentum|abbrocamentum, abbrocamenti n
42|abdicatio|abdicatio, abdicationis n
43|abdicative|abdicative adv
44|abdicativus|abdicativus, abdicativa, abdicativum adj
45|abdicatrix|abdicatrix, abdicatricis n
46|abdicatus|abdicatus, abdicati n
47|abdico|abdico, abdicare, abdicavi, abdicatus v
48|abdico|abdico, abdicere, abdixi, abdictus v
49|abdite|abdite adv
50|abditivus|abditivus, abditiva, abditivum adj
51|abditum|abditum, abditi n
52|abditus|abditus, abdita, abditum adj
53|abdo|abdo, abdere, abdidi, abditus v
54|abdomen|abdomen, abdominis n
55|abdominalis|abdominalis, abdominalis, abdominale adj
56|abduco|abduco, abducere, abduxi, abductus v
57|abductio|abductio, abductionis v
58|abecedaria|abecedaria, abecedariae n
59|abecedarium|abecedarium, abecedarii n
60|abecedarius|abecedarius, abecedaria, abecedarium adj
61|abecedarius|abecedarius, abecedarii n
62|abecetuorium|abecetuorium, abecetuorii n
63|abellana|abellana, abellanae n
64|abellanus|abellanus, abellana, abellanum adj
65|abeo|abeo, abire, abivi(ii), abitus v
66|abequito|abequito, abequitare, abequitavi, abequitatus v
67|aberceo|aberceo, abercere, -, - v
68|aberratio|aberratio, aberrationis n
69|aberro|aberro, aberrare, aberravi, aberratus v
70|abfero|abfero, abferre, -, - v
71|abfluo|abfluo, abfluere, abfluxi, - v
72|abfugio|abfugio, abfugere, abfugi, - v
73|abhibeo|abhibeo, abhibere, -, - v
74|abhinc|abhinc adv
75|abhorreo|abhorreo, abhorrere, abhorrui, - v
76|abhorresco|abhorresco, abhorrescere, abhorrui, - v
77|abhorride|abhorride adv
78|abhorridus|abhorridus, abhorrida, abhorridum adj
79|abicio|abicio, abicere, abjeci, abjectus v
80|abico|abico, abicere, -, - v
81|abiegneus|abiegneus, abiegnea, abiegneum adj
82|abiegnius|abiegnius, abiegnia, abiegnium adj
83|abiegnus|abiegnus, abiegna, abiegnum adj
84|abies|abies, abietis n
85|abietarius|abietarius, abietaria, abietarium adj
86|abietarius|abietarius, abietarii n
87|abiga|abiga, abigae n
88|abigeator|abigeator, abigeatoris n
89|abigeatus|abigeatus, abigeatus n
90|abigeus|abigeus, abigei n
91|abigo|abigo, abigere, abegi, abactus v
92|abigo|abigo, abigere, abegi, abactus v
93|abigo|abigo, abigere, abigi, abactus v
94|abigo|abigo, abigere, abigi, abactus v
95|abinde|abinde adv
96|abinvicem|abinvicem adv
97|abitio|abitio, abitionis n
98|abito|abito, abitare, abitavi, abitatus v
99|abitus|abitus, abitus n
100|abjecte|abjecte, abjectius, abjectissime adv
101|abjectio|abjectio, abjectionis n
102|abjecto|abjecto, abjectare, abjectavi, abjectatus v
103|abjectus|abjectus, abjecta adj
104|abjicio|abjicio, abjicere, abjeci, abjectus v
105|abjudicativus|abjudicativus, abjudicativa, abjudicativum adj
106|abjudico|abjudico, abjudicare, abjudicavi, abjudicatus v
107|abjugo|abjugo, abjugare, abjugavi, abjugatus v
108|abjungo|abjungo, abjungere, abjunxi, abjunctus v
109|abjuratio|abjuratio, abjurationis n
110|abjuratio|abjuratio, abjurationis n
111|abjurgo|abjurgo, abjurgare, abjurgavi, abjurgatus v
112|abjuro|abjuro, abjurare, abjuravi, abjuratus v
113|ablactatio|ablactatio, ablactationis n
114|ablacto|ablacto, ablactare, ablactavi, ablactatus v
115|ablacuo|ablacuo, ablacuare, ablacuavi, ablacuatus v
116|ablacuo|ablacuo, ablacuare, ablacuavi, ablacuatus v
117|ablaqueatio|ablaqueatio, ablaqueationis n
118|ablaqueo|ablaqueo, ablaqueare, ablaqueavi, ablaqueatus v
119|ablatio|ablatio, ablationis n
120|ablativus|ablativus, ablativa, ablativum adj
121|ablativus|ablativus, ablativi n
122|ablator|ablator, ablatoris n
123|ablegatio|ablegatio, ablegationis n
124|ablego|ablego, ablegare, ablegavi, ablegatus v
125|ablepsia|ablepsia, ablepsiae n
126|abligurio|abligurio, abligurire, abligurivi, abliguritus v
127|abligurrio|abligurrio, abligurrire, abligurrivi, abligurritus v
128|abloco|abloco, ablocare, ablocavi, ablocatus v
129|abludo|abludo, abludere, -, - v
130|abluo|abluo, abluere, ablui, ablutus v
131|ablutio|ablutio, ablutionis n
132|abluvio|abluvio, abluvionis n
133|abluvium|abluvium, abluvii n
134|abmatertera|abmatertera, abmaterterae n
135|abnato|abnato, abnatare, abnatavi, abnatatus v
136|abnegatio|abnegatio, abnegationis n
137|abnegativus|abnegativus, abnegativa, abnegativum adj
138|abnegator|abnegator, abnegatoris n
139|abnego|abnego, abnegare, abnegavi, abnegatus v
140|abnepos|abnepos, abnepotis n
141|abneptis|abneptis, abneptis n
142|abnocto|abnocto, abnoctare, abnoctavi, abnoctatus v
143|abnodo|abnodo, abnodare, abnodavi, abnodatus v
144|abnormalis|abnormalis, abnormalis, abnormale adj
145|abnormis|abnormis, abnormis, abnorme adj
146|abnueo|abnueo, abnuere, -, - v
147|abnuitio|abnuitio, abnuitionis n
148|abnumero|abnumero, abnumerare, abnumeravi, abnumeratus v
149|abnuo|abnuo, abnuere, abnui, abnuitus v
150|abnutivum|abnutivum, abnutivi n
151|abnutivus|abnutivus, abnutiva, abnutivum adj
152|abnuto|abnuto, abnutare, abnutavi, abnutatus v
153|abolefacio|abolefacio, abolefacere, abolefeci, abolefactus v
154|abolefio|abolefio, aboleferi, abolefactus v
155|aboleo|aboleo, abolere, abolevi, abolitus v
156|abolesco|abolesco, abolescere, abolevi, - v
157|abolitio|abolitio, abolitionis n
158|abolitor|abolitor, abolitoris n
159|abolla|abolla, abollae n
160|abominabilis|abominabilis, abominabilis, abominabile adj
161|abominamentum|abominamentum, abominamenti n
162|abominandus|abominandus, abominanda, abominandum adj
163|abominanter|abominanter adv
164|abominatio|abominatio, abominationis n
165|abominatus|abominatus, abominata, abominatum adj
166|abomino|abomino, abominare, abominavi, abominatus v
167|abominor|abominor, abominari, abominatus v
168|abominosus|abominosus, abominosa, abominosum adj
169|aborigineus|aborigineus, aboriginea, aborigineum adj
170|aborior|aborior, aboriri, abortus v
171|aborisco|aborisco, aboriscere, -, - v
172|aborsus|aborsus, aborsa, aborsum adj
173|abortio|abortio, abortionis n
174|abortio|abortio, abortire, -, - v
175|abortium|abortium, abortii n
176|abortivum|abortivum, abortivi n
177|abortivum|abortivum, abortivi n
178|abortivus|abortivus, abortiva, abortivum adj
179|abortivus|abortivus, abortivi n
180|aborto|aborto, abortare, abortavi, abortatus v
181|abortum|abortum, aborti n
182|abortus|abortus, abortus n
183|abpatruus|abpatruus, abpatrui n
184|abra|abra, abrae n
185|abrado|abrado, abradere, abrasi, abrasus v
186|abrelictus|abrelictus, abrelicta, abrelictum adj
187|abrenunciatio|abrenunciatio, abrenunciationis n
188|abrenuntio|abrenuntio, abrenuntiare, abrenuntiavi, abrenuntiatus v
189|abripio|abripio, abripere, abripui, abreptus v
190|abrodiaetus|abrodiaetus, abrodiaeti n
191|abrodo|abrodo, abrodere, abrosi, abrosus v
192|abrogatio|abrogatio, abrogationis n
193|abrogo|abrogo, abrogare, abrogavi, abrogatus v
194|abrotonites|abrotonites, abrotonitae n
195|abrotonum|abrotonum, abrotoni n
196|abrotonus|abrotonus, abrotoni n
197|abrumpo|abrumpo, abrumpere, abrupi, abruptus v
198|abrupte|abrupte adv
199|abruptio|abruptio, abruptionis n
200|abruptum|abruptum, abrupti n
201|abruptus|abruptus, abrupta adj
202|abruptus|abruptus, abrupta adj
203|abs|abs prep
204|abscedo|abscedo, abscedere, abscessi, abscessus v
205|abscessus|abscessus, abscessus n
206|abscido|abscido, abscidere, abscidi, abscisus v
207|abscido|abscido, abscidere, abscidi, abscisus v
208|abscindo|abscindo, abscindere, abscidi, abscissus v
209|abscise|abscise adv
210|abscisio|abscisio, abscisionis n
211|abscissio|abscissio, abscissionis n
212|abscisus|abscisus, abscisa adj
213|abscondeo|abscondeo, abscondere, abscondui, absconditus v
214|abscondite|abscondite adv
215|absconditum|absconditum, absconditi n
216|absconditus|absconditus, abscondita, absconditum adj
217|abscondo|abscondo, abscondere, abscondi, absconditus v
218|abscondo|abscondo, abscondere, abscondidi, absconditus v
219|absconse|absconse adv
220|absconsio|absconsio, absconsionis n
221|absconsus|absconsus, absconsa, absconsum adj
222|absegmen|absegmen, absegminis n
223|absens|absens, (gen.), absentis adj
224|absenthium|absenthium, absenthii n
225|absentia|absentia, absentiae n
226|absentio|absentio, absentionis n
227|absentivus|absentivus, absentiva, absentivum adj
228|absento|absento, absentare, absentavi, absentatus v
229|absida|absida, absidae n
230|absida|absida, absidae n
231|absidatus|absidatus, absidata, absidatum adj
232|absidiale|absidiale, absidialis n
233|absidiola|absidiola, absidiolae n
234|absilio|absilio, absilire, -, - v
235|absimilis|absimilis, absimilis, absimile adj
236|absinthites|absinthites, absinthitae n
237|absinthium|absinthium, absinthi(i) n
238|absinthium|absinthium, absinthii n
239|absinthius|absinthius, absinthia, absinthium adj
240|absinthius|absinthius, absinthii n
241|absis|absis, absidis n
242|absisto|absisto, absistere, absistiti, - v
243|absistus|absistus, absista, absistum adj
244|absit|absit interj
245|absocer|absocer, absoceri n
246|absolute|absolute, absolutius, absolutissime adv
247|absolutio|absolutio, absolutionis n
248|absolutismus|absolutismus, absolutismi n
249|absolutorium|absolutorium, absolutorii n
250|absolutorius|absolutorius, absolutoria, absolutorium adj
251|absolutus|absolutus, absoluta adj
252|absolutus|absolutus, absoluta, absolutum adj
253|absolvo|absolvo, absolvere, absolvi, absolutus v
254|absone|absone adv
255|absonia|absonia, absoniae n
256|absono|absono, absonare, absonavi, absonatus v
257|absonus|absonus, absona, absonum adj
258|absorbeo|absorbeo, absorbere, absorbui, absorptus v
259|absorbeo|absorbeo, absorbere, absorpsi, absorptus v
260|absorptio|absorptio, absorptionis n
261|absortio|absortio, absortionis n
262|absortus|absortus, absorta, absortum adj
263|absque|absque prep
264|abstantia|abstantia, abstantiae n
265|abstemia|abstemia, abstemiae n
266|abstemius|abstemius, abstemia, abstemium adj
267|abstergeo|abstergeo, abstergere, abstersi, abstersus v
268|abstergo|abstergo, abstergere, abstersi, abstersus v
269|absterreo|absterreo, absterrere, absterrui, absterritus v
270|abstinax|abstinax, (gen.), abstinacis adj
271|abstinens|abstinens, abstinentis adj
272|abstinenter|abstinenter adv
273|abstinentia|abstinentia, abstinentiae n
274|abstineo|abstineo, abstinere, abstinui, abstentus v
275|absto|absto, abstare, absteti, abstatus v
276|abstractio|abstractio, abstractionis n
277|abstractus|abstractus, abstracta, abstractum adj
278|abstraho|abstraho, abstrahere, abstraxi, abstractus v
279|abstrudo|abstrudo, abstrudere, abstrusi, abstrusus v
280|abstruse|abstruse adv
281|abstrusio|abstrusio, abstrusionis n
282|abstrusus|abstrusus, abstrusa adj
283|abstulo|abstulo, abstulere, -, - v
284|absum|absum, abesse, abfui, abfuturus v
285|absum|absum, abesse, afui, afuturus v
286|absumedo|absumedo, absumedinis n
287|absumo|absumo, absumere, absumpsi, absumptus v
288|absumptio|absumptio, absumptionis n
289|absurde|absurde adv
290|absurditas|absurditas, absurditatis n
291|absurdus|absurdus, absurda, absurdum adj
292|absus|absus, absi n
293|absynthium|absynthium, absynthii n
294|abundans|abundans, abundantis adj
295|abundanter|abundanter, abundantius, abundantissime adv
296|abundantia|abundantia, abundantiae n
297|abundatio|abundatio, abundationis n
298|abunde|abunde adv
299|abundo|abundo, abundare, abundavi, abundatus v
300|abundus|abundus, abunda, abundum adj
301|abusio|abusio, abusionis n
302|abusive|abusive adv
303|abusivus|abusivus, abusiva, abusivum adj
304|abusor|abusor, abusoris n
305|abusque|abusque adv
306|abusque|abusque prep
307|abusus|abusus, abusus n
308|abutor|abutor, abuti, abusus v
309|abverto|abverto, abvertere, abverti, abversus v
310|abyssus|abyssus, abyssi n
311|ac|ac conj
312|acacia|acacia, acaciae n
313|Academia|Academia, Academiae n
314|academicus|academicus, academica, academicum adj
315|acalanthis|acalanthis, acalanthidos/is n
316|acalephe|acalephe, acalephes n
317|acanos|acanos, acani n
318|acanthicos|acanthicos, acanthicos, acanthicon adj
319|acanthillis|acanthillis, acanthillidis n
320|acanthinus|acanthinus, acanthina, acanthinum adj
321|acanthion|acanthion, acanthii n
322|acanthis|acanthis, acanthidis n
323|acanthius|acanthius, acanthia, acanthium adj
324|acanthos|acanthos, acanthi n
325|acanthus|acanthus, acanthi n
326|acanthyllis|acanthyllis, acanthyllidis n
327|acanus|acanus, acani n
328|acapnos|acapnos, acapnos, acapnon adj
329|acapnus|acapnus, acapna, acapnum adj
330|acarna|acarna, acarnae n
331|acarne|acarne, acarnes n
332|acarus|acarus, acari n
333|acatalecticus|acatalecticus, acatalectica, acatalecticum adj
334|acatalectus|acatalectus, acatalecta, acatalectum adj
335|acatalepsia|acatalepsia, acatalepsiae n
336|acatholice|acatholice adv
337|acatholicus|acatholicus, acatholica, acatholicum adj
338|acation|acation, acatii n
339|acatium|acatium, acatii n
340|acatus|acatus, acati n
341|acaunumarga|acaunumarga, acaunumargae n
342|acaustos|acaustos, acaustos, acauston adj
343|acaustus|acaustus, acausta, acaustum adj
344|accano|accano, accanere, -, - v
345|accanto|accanto, accantere, -, - v
346|accantus|accantus, accantus n
347|accapito|accapito, accapitare, accapitavi, accapitatus v
348|accedenter|accedenter adv
349|accedentia|accedentia, accedentiae n
350|accedo|accedo, accedere, accessi, accessus v
351|acceleratio|acceleratio, accelerationis n
352|acceleratrum|acceleratrum, acceleratri n
353|accelero|accelero, accelerare, acceleravi, acceleratus v
354|accendium|accendium, accendii n
355|accendo|accendo, accendere, accendi, accensus v
356|accendo|accendo, accendonis n
357|accenseo|accenseo, accensere, accensui, accensus v
358|accensibilis|accensibilis, accensibilis, accensibile adj
359|accensus|accensus, accensa, accensum adj
360|accensus|accensus, accensi n
361|accensus|accensus, accensus n
362|accentiuncula|accentiuncula, accentiunculae n
363|accento|accento, accentere, -, - v
364|accentor|accentor, accentoris n
365|accentus|accentus, accentus n
366|acceo|acceo, accere, -, - v
367|accepta|accepta, acceptae n
368|acceptabilis|acceptabilis, acceptabilis, acceptabile adj
369|acceptarius|acceptarius, acceptaria, acceptarium adj
370|acceptator|acceptator, acceptatoris n
371|acceptatus|acceptatus, acceptata adj
372|acceptilatio|acceptilatio, acceptilationis n
373|acceptio|acceptio, acceptionis n
374|accepto|accepto, acceptare, acceptavi, acceptatus v
375|acceptor|acceptor, acceptoris n
376|acceptorius|acceptorius, acceptoria, acceptorium adj
377|acceptrix|acceptrix, acceptricis n
378|acceptum|acceptum, accepti n
379|acceptus|acceptus, accepta adj
380|accersio|accersio, accersire, -, - v
381|accersitio|accersitio, accersitionis n
382|accersitor|accersitor, accersitoris n
383|accersitus|accersitus, accersita, accersitum adj
384|accersitus|accersitus, accersitus n
385|accerso|accerso, accersere, accersi, - v
386|accerso|accerso, accersere, accersivi, accersitus v
387|accessa|accessa, accessae n
388|accessibilis|accessibilis, accessibilis, accessibile adj
389|accessibilitas|accessibilitas, accessibilitatis n
390|accessio|accessio, accessionis n
391|accessito|accessito, accessitare, accessitavi, accessitatus v
392|accessorie|accessorie adv
393|accessorius|accessorius, accessoria, accessorium adj
394|accessus|accessus, accessus n
395|accidens|accidens, accidentis n
396|accidentalis|accidentalis, accidentalis, accidentale adj
397|accidentia|accidentia, accidentiae n
398|accido|accido, accidere, accidi, - v
399|accido|accido, accidere, accidi, accisus v
400|accidt|accidt, accidere, accidit, accisus v
401|accieo|accieo, acciere, accivi, accitus v
402|accinctus|accinctus, accincta, accinctum adj
403|accingo|accingo, accingere, accinxi, accinctus v
404|accino|accino, accinere, -, - v
405|accio|accio, accire, accivi, accitus v
406|accipio|accipio, accipere, accepi, acceptus v
407|accipiter|accipiter, accipitris n
408|accipitrina|accipitrina, accipitrinae n
409|accipitro|accipitro, accipitrare, accipitravi, accipitratus v
410|accitio|accitio, accitionis n
411|accitus|accitus, accita, accitum adj
412|accitus|accitus, accitus n
413|acclamatio|acclamatio, acclamationis n
414|acclamo|acclamo, acclamare, acclamavi, acclamatus v
415|acclaro|acclaro, acclarare, acclaravi, acclaratus v
416|acclinis|acclinis, acclinis, accline adj
417|acclino|acclino, acclinare, acclinavi, acclinatus v
418|acclive|acclive, acclivis n
419|acclivis|acclivis, acclivis, acclive adj
420|acclivitas|acclivitas, acclivitatis n
421|acclivius|acclivius, acclivia, acclivium adj
422|acclivus|acclivus, accliva, acclivum adj
423|accludo|accludo, accludere, acclusi, acclusus v
424|accognosco|accognosco, accognoscere, -, - v
425|accola|accola, accolae n
426|accolens|accolens, accolentis n
427|accolo|accolo, accolere, accolui, accultus v
428|accommodate|accommodate, accommodatius, accommodatissime adv
429|accommodatio|accommodatio, accommodationis n
430|accommodatus|accommodatus, accommodata adj
431|accommodo|accommodo, accommodare, accommodavi, accommodatus v
432|accommodus|accommodus, accommoda, accommodum adj
433|accomodate|accomodate, accomodatius, accomodatissime adv
434|accomodatio|accomodatio, accomodationis n
435|accomodatus|accomodatus, accomodata adj
436|accomodo|accomodo, accomodare, accomodavi, accomodatus v
437|accomodus|accomodus, accomoda, accomodum adj
438|accongero|accongero, accongerare, accongeravi, accongeratus v
439|accordeon|accordeon, accordei n
440|accordo|accordo, accordare, accordavi, accordatus v
441|accordum|accordum, accordi n
442|accorporo|accorporo, accorporare, accorporavi, accorporatus v
443|accredo|accredo, accredere, accredidi, accreditus v
444|accresco|accresco, accrescere, accrevi, accretus v
445|accretio|accretio, accretionis n
446|accretus|accretus, accreta, accretum adj
447|accubitalia|accubitalia, accubitaliae n
448|accubitatio|accubitatio, accubitationis n
449|accubitio|accubitio, accubitionis n
450|accubitorius|accubitorius, accubitoria, accubitorium adj
451|accubitum|accubitum, accubiti n
452|accubitus|accubitus, accubitus n
453|accubo|accubo adv
454|accubo|accubo, accubare, accubui, accubitus v
455|accudo|accudo, accudere, -, - v
456|accumbo|accumbo, accumbere, accumbui, accumbitus v
457|accumulate|accumulate, accumulatius, accumulatissime adv
458|accumulatio|accumulatio, accumulationis n
459|accumulator|accumulator, accumulatoris n
460|accumulatrum|accumulatrum, accumulatri n
461|accumulo|accumulo, accumulare, accumulavi, accumulatus v
462|accurate|accurate, accuratius, accuratissime adv
463|accuratio|accuratio, accurationis n
464|accuratus|accuratus, accurata adj
465|accuro|accuro, accurare, accuravi, accuratus v
466|accurro|accurro, accurrere, accucurri, accursus v
467|accurro|accurro, accurrere, accurri, accursus v
468|accursus|accursus, accursus n
469|accusabilis|accusabilis, accusabilis, accusabile adj
470|accusatio|accusatio, accusationis n
471|accusativus|accusativus, accusativa, accusativum adj
472|accusativus|accusativus, accusativi n
473|accusator|accusator, accusatoris n
474|accusatorie|accusatorie adv
475|accusatorius|accusatorius, accusatoria, accusatorium adj
476|accusatrix|accusatrix, accusatricis n
477|accusito|accusito, accusitare, accusitavi, accusitatus v
478|accuso|accuso, accusare, accusavi, accusatus v
479|accusso|accusso, accussare, accussavi, accussatus v
480|acedia|acedia, acediae n
481|acedior|acedior, acediari, acediatus v
482|acediosus|acediosus, acediosa, acediosum adj
483|acentetus|acentetus, acenteta, acentetum adj
484|aceo|aceo, acere, -, - v
485|acephalos|acephalos, acephalos, acephalon adj
486|acephalus|acephalus, acephala, acephalum adj
487|acer|acer, aceris n
488|acer|acer, acris adj
489|aceratus|aceratus, acerata, aceratum adj
490|acerbe|acerbe, acerbius, acerbissime adv
491|acerbitas|acerbitas, acerbitatis n
492|acerbitudo|acerbitudo, acerbitudinis n
493|acerbo|acerbo, acerbare, acerbavi, acerbatus v
494|acerbum|acerbum, acerbi n
495|acerbus|acerbus, acerba adj
496|acerneus|acerneus, acernea, acerneum adj
497|acernia|acernia, acerniae n
498|acernus|acernus, acerna, acernum adj
499|acerosus|acerosus, acerosa, acerosum adj
500|acerra|acerra, acerrae n
501|acersecomes|acersecomes, acersecomae n
502|acertas|acertas, acertatis n
503|acerus|acerus, acera, acerum adj
504|acervalis|acervalis, acervalis n
505|acervalis|acervalis, acervalis, acervale adj
506|acervatim|acervatim adv
507|acervatio|acervatio, acervationis n
508|acervo|acervo, acervare, acervavi, acervatus v
509|acervus|acervus, acervi n
510|acescentia|acescentia, acescentiae n
511|acesco|acesco, acescere, acui, - v
512|acesis|acesis, acesis n
513|acetabulum|acetabulum, acetabuli n
514|acetarium|acetarium, acetarii n
515|acetarum|acetarum, acetari n
516|acetasco|acetasco, acetascare, acetascavi, acetascatus v
517|acetosus|acetosus, acetosa, acetosum adj
518|acetum|acetum, aceti n
519|achaemenis|achaemenis, achaemenidis n
520|achantum|achantum, achanti n
521|achanum|achanum, achani n
522|acharis|acharis, acharis, achare adj
523|acharistos|acharistos, acharistos, achariston adj
524|acharistum|acharistum, acharisti n
525|achariter|achariter adv
526|acharna|acharna, acharnae n
527|acharne|acharne, acharnes n
528|achates|achates, achatae n
529|acheta|acheta, achetae n
530|achetas|achetas, achetae n
531|Achillas|Achillas, Achillae n
532|achilleos|achilleos, achillei n
533|Achilles|Achilles, Achillis n
534|Achilleus|Achilleus, Achilleis n
535|achlis|achlis, achlis n
536|achor|achor, achoris n
537|achras|achras, achradis n
538|achynops|achynops, achynopis n
539|acia|acia, aciae n
540|acicula|acicula, aciculae n
541|acidatas|acidatas, acidatatis n
542|acide|acide, acidius, acidissime adv
543|aciditas|aciditas, aciditatis n
544|acidulus|acidulus, acidula, acidulum adj
545|acidum|acidum, acidi n
546|acidus|acidus, acida adj
547|acies|acies, aciei n
548|acina|acina, acinae n
549|acinaces|acinaces, acinacis n
550|acinarius|acinarius, acinaria, acinarium adj
551|acinaticius|acinaticius, acinaticia, acinaticium adj
552|acinos|acinos, acini n
553|acinosus|acinosus, acinosa, acinosum adj
554|acinum|acinum, acini n
555|acinus|acinus, acini n
556|acipenser|acipenser, acipenseris n
557|acipensis|acipensis, acipensis n
558|aciscularius|aciscularius, acisculari(i) n
559|acistarium|acistarium, acistarii n
560|acisulus|acisulus, acisuli n
561|aclassis|aclassis, aclassis n
562|aclouthia|aclouthia, aclouthiae n
563|aclys|aclys, aclydis n
564|acna|acna, acnae n
565|acnua|acnua, acnuae n
566|acoenonetus|acoenonetus, acoenoneta, acoenonetum adj
567|acoenonoetus|acoenonoetus, acoenonoeta, acoenonoetum adj
568|acoetis|acoetis, acoetis n
569|acolitus|acolitus, acoliti n
570|acoluthus|acoluthus, acoluthi n
571|acolythus|acolythus, acolythi n
572|acolytus|acolytus, acolyti n
573|acona|acona, aconae n
574|aconiti|aconiti adv
575|aconiton|aconiton, aconiti n
576|aconitum|aconitum, aconiti n
577|acontias|acontias, acontiae n
578|acontizo|acontizo, acontizare, acontizavi, acontizatus v
579|acopos|acopos, acopi n
580|acopum|acopum, acopi n
581|acor|acor, acoris n
582|acorion|acorion, acorii n
583|acorna|acorna, acornae n
584|acoron|acoron, acori n
585|acoros|acoros, acori n
586|acorum|acorum, acori n
587|acorus|acorus, acori n
588|acosmos|acosmos, acosmos, acosmon adj
589|acquiesco|acquiesco, acquiescere, acquiei, acquietus v
590|acquiesco|acquiesco, acquiescere, acquievi, acquietus v
591|acquiro|acquiro, acquirere, acquisivi, acquisitus v
592|acquisitio|acquisitio, acquisitionis n
593|acquisitrix|acquisitrix, acquisitricis n
594|acquisitus|acquisitus, acquisita, acquisitum adj
595|acra|acra, acrae n
596|acratophorum|acratophorum, acratophori n
597|acredo|acredo, acredinis n
598|acredula|acredula, acredulae n
599|acriculus|acriculus, acricula, acriculum adj
600|acridium|acridium, acridii n
601|acrifolium|acrifolium, acrifolii n
602|acrimonia|acrimonia, acrimoniae n
603|acritas|acritas, acritatis n
604|acriter|acriter, acrius, acerrime adv
605|acritudo|acritudo, acritudinis n
606|acro|acro, acronis n
607|acroama|acroama, acroamatis n
608|acroamatarius|acroamatarius, acroamataria, acroamatarium adj
609|acroamaticus|acroamaticus, acroamatica, acroamaticum adj
610|acroasis|acroasis, acroasis n
611|acroaticus|acroaticus, acroatica, acroaticum adj
612|acrobates|acrobates, acrobatae n
613|acrobaticus|acrobaticus, acrobatica, acrobaticum adj
614|acrochordon|acrochordon, acrochordonis n
615|acrochordon|acrochordon, acrochordonos/is n
616|acrocolefium|acrocolefium, acrocolefii n
617|acrocorium|acrocorium, acrocorii n
618|acrolithos|acrolithos, acrolithos, acrolithon adj
619|acrolithus|acrolithus, acrolitha, acrolithum adj
620|acron|acron, acronis n
621|acropodium|acropodium, acropodii n
622|acror|acror, acroris n
623|acroterium|acroterium, acroterii n
624|acrozymus|acrozymus, acrozyma, acrozymum adj
625|acrufolius|acrufolius, acrufolia, acrufolium adj
626|acrum|acrum, acri n
627|acsi|acsi conj
628|Act.|Act., abb. n
629|acta|acta, actae n
630|actaea|actaea, actaeae n
631|actarius|actarius, actarii n
632|acte|acte, actes n
633|actinophoros|actinophoros, actinophori n
634|actinosus|actinosus, actinosa, actinosum adj
635|actio|actio, actionis n
636|actionarius|actionarius, actionarii n
637|actito|actito, actitare, actitavi, actitatus v
638|actiuncula|actiuncula, actiunculae n
639|active|active adv
640|activitas|activitas, activitatis n
641|activus|activus, activa, activum adj
642|actor|actor, actoris n
643|actor|actor, actoris n
644|actorius|actorius, actoria, actorium adj
645|actrix|actrix, actricis n
646|actu|actu adv
647|actualis|actualis, actualis, actuale adj
648|actualitas|actualitas, actualitatis n
649|actualiter|actualiter adv
650|actuaria|actuaria, actuariae n
651|actuariola|actuariola, actuariolae n
652|actuariolum|actuariolum, actuarioli n
653|actuarium|actuarium, actuarii n
654|actuarius|actuarius, actuari(i) n
655|actuarius|actuarius, actuaria, actuarium adj
656|actum|actum adv
657|actum|actum, acti n
658|actuo|actuo, actuare, actuavi, actuatus v
659|actuose|actuose adv
660|actuositas|actuositas, actuositatis n
661|actuosus|actuosus, actuosa, actuosum adj
662|actus|actus, actus n
663|actus|actus, actus n
664|actutum|actutum adv
665|acuarius|acuarius, acuari(i) n
666|acueo|acueo, acuere, acuui, acuitus v
667|acuitas|acuitas, acuitatis n
668|acula|acula, aculae n
669|aculeatus|aculeatus, aculeata, aculeatum adj
670|aculeolus|aculeolus, aculeoli n
671|aculeus|aculeus, aculei n
672|aculos|aculos, aculi n
673|acumen|acumen, acuminis n
